,Canopy_Coeff,BuiltEnv_Coeff,Elevation_Coeff
count,434369.0,434369.0,434369.0
mean,-0.0870412461889385,1.1835648153618923,0.4410673704003444
std,0.5685604516980537,1.3775009205455968,8.629917118367354
min,-11.644409154293186,-2.270633731658007,-64.8521383538109
25%,-0.3830923162244128,0.2481676501784042,-4.662433256632297
50%,-0.1021817085730224,0.8951660972877228,-1.0503443176385254
75%,0.1915453119490268,1.7745723248390062,3.445286875953267
max,7.33831384197368,7.1873443206138825,60.06973022608973
