Run,Bandwidth,Mean_Local_R2,RMSE,MAE,R2_Global
1,53.0,0.49546282329522917,0.6582539269716426,0.49076010666535586,0.8525263339361362
6,53.0,0.49648037551639007,0.6619700952831461,0.4948028421681894,0.8470635817355776
5,53.0,0.4954144215145705,0.6524292668611559,0.49114364411412226,0.8563675727806218
3,53.0,0.4895446797804108,0.6593139390371127,0.4971452409441251,0.8523576701975494
8,53.0,0.4954890453503333,0.6558855533835182,0.49071929437391154,0.8548963071356981
4,53.0,0.49487672793248355,0.6529446617209193,0.4927103821713081,0.8514522687919874
7,53.0,0.49370235493043946,0.6571023455444599,0.492500365388969,0.8530952043934249
2,53.0,0.4948335100060336,0.6539664365673913,0.4943766877208497,0.8530475581695381
12,53.0,0.4960741452464494,0.6460118933214082,0.48350207021751357,0.8544238586798248
9,53.0,0.49927322023354936,0.6457387768396635,0.4851419647497803,0.8581165193633026
11,53.0,0.4822876375008931,0.6708016589663883,0.5039139607253031,0.8511810475961332
13,53.0,0.49376663618396033,0.6520575194341922,0.49120853120108443,0.8524431216761016
10,53.0,0.4877916487013994,0.6539988753565678,0.48773806227982625,0.8496426471102789
15,53.0,0.5007570235593374,0.649977643086085,0.48851330074632104,0.8550996209358163
14,53.0,0.496343263259895,0.6527118335749497,0.49083450087135644,0.8570338749277405
16,53.0,0.4883224986044649,0.65857276923999,0.4959198969777562,0.8518998390252973
18,53.0,0.4894577919445233,0.6636432241768381,0.4977465866832597,0.8557026854034094
19,53.0,0.5019351266666238,0.6503875761297083,0.4866787771545503,0.8574240385450328
20,53.0,0.48541408897828303,0.6595010931147743,0.49548690746813917,0.8480336139132176
21,53.0,0.4903320208391735,0.6629100370306368,0.4984437413019905,0.852412709382128
17,53.0,0.49467285349802076,0.6564948359645191,0.49125018715425084,0.8537054640736721
22,53.0,0.49648282438111835,0.6544769939187137,0.49332303252741805,0.8571239757015496
23,53.0,0.5089925623138595,0.6484613497968602,0.48863756363886096,0.8591378010137145
24,53.0,0.49408867283346997,0.6587315801139041,0.49447966717684094,0.8527618867923789
26,53.0,0.4864134160338421,0.6604063713254704,0.4963406508211765,0.8493826848308895
28,53.0,0.4882112728538197,0.6577304380957838,0.49209390832560446,0.8507778967705752
25,53.0,0.4945954919927617,0.6612034274413411,0.497633507822806,0.8542296962018543
27,53.0,0.5005921897293705,0.6539196094384677,0.4893964165432901,0.8530867132304566
30,53.0,0.4876032662431435,0.6603974980046557,0.4933453377505941,0.8497303391034207
29,53.0,0.4935725515928911,0.656171973185355,0.49509389775650114,0.8528031980568752
31,53.0,0.4883545174820426,0.656822894300955,0.49152458104278857,0.8521383962919712
32,53.0,0.49215310398990997,0.655003336591103,0.4914159035758928,0.8514259288759538
34,53.0,0.4960997438559237,0.6561967967942542,0.4945120449311848,0.8524192229188012
35,53.0,0.5038334900734704,0.6519795883634208,0.4881242801013329,0.858793022022019
36,53.0,0.4933459257401591,0.6574433627018937,0.4915000339766686,0.8509706710468832
33,53.0,0.4886648495852752,0.6576760950604073,0.4952115140112696,0.8505513138210963
37,53.0,0.4945388962949629,0.6540775309925199,0.49306783679283145,0.8529627838847865
38,53.0,0.49113667359397495,0.6544554094707384,0.4906731241146249,0.8504853243882471
39,53.0,0.4956351800242698,0.6619502180868931,0.4941230878717901,0.8503074449656308
40,53.0,0.49403664955200555,0.6634746377225719,0.5000553247319394,0.852940075536948
41,53.0,0.4963494227327117,0.6525511795604199,0.4888288316850121,0.8532380771716214
43,53.0,0.49280231464534036,0.6603143971236194,0.49417916102407544,0.8517450708233019
44,53.0,0.4865756487476822,0.6647282802958243,0.49919538223060284,0.8492754461739254
42,53.0,0.4951100974183482,0.6548759778428066,0.4885858533904605,0.8552601883103472
45,53.0,0.4950328517858887,0.658112461800648,0.49433140824230043,0.852663799407394
46,53.0,0.4924716579794421,0.6586511763776124,0.49367550484486,0.8521037623503035
47,53.0,0.5009255351773976,0.6497962029548427,0.48662933615692455,0.8543015749044848
48,53.0,0.5017763139923062,0.648932986107914,0.48720434322242756,0.8557994880233591
50,53.0,0.4950231958212031,0.6594463671368775,0.4987468137957245,0.8546024105281467
49,53.0,0.4966227446261405,0.6555202572608549,0.49056616524717,0.8534383062542832
52,53.0,0.491550148775458,0.6562747760900844,0.4930114068595043,0.8513602467367939
51,53.0,0.49040613350075773,0.6641564590689978,0.4986233386583384,0.8495386118556775
53,53.0,0.4832170482488954,0.6740511447620036,0.5026958234419533,0.8481096887078212
54,53.0,0.4817416466979413,0.6691110708882267,0.5006701516712058,0.8471139445779048
55,53.0,0.5009380440184579,0.6587810199992279,0.4952135439127402,0.8520765654226872
56,53.0,0.4882123627570083,0.6610477451752585,0.491213282869867,0.8498288100068143
57,53.0,0.4937302205300626,0.6679074075749609,0.5001255147273925,0.8481755130454645
58,53.0,0.49115151334351187,0.6607795186691148,0.49415481045783155,0.8508946071806306
59,53.0,0.4937959175334459,0.6606512204806858,0.49493126164778434,0.8523893676253971
60,53.0,0.48598072891585564,0.6641625740481104,0.4973370306425249,0.8480004111223614
61,53.0,0.49323813959150176,0.6584798913082911,0.49229179866689193,0.8507509471825112
62,53.0,0.4973628137588632,0.6542735877315603,0.48930668561324053,0.8553606307342202
63,53.0,0.4846187870257566,0.6635495712664932,0.493467536048317,0.8459290249723388
64,53.0,0.49735634405391355,0.6640508820334131,0.5025590831036658,0.856820130516079
65,53.0,0.490718854370852,0.6598017374442414,0.48885834144788143,0.8482255412883257
68,53.0,0.4905187956897009,0.6557421583238724,0.49183118265566145,0.8538688601871413
66,53.0,0.49183822490357504,0.6488617969560093,0.4888911252643576,0.8533836982663376
69,53.0,0.49260925244610737,0.667866786834892,0.49656537815779855,0.8444337279215022
67,53.0,0.4930202957578982,0.6574700114133977,0.4913519167465699,0.8539099729172204
70,53.0,0.48962404526866193,0.6645744363771865,0.4964789206441094,0.8459735348906039
71,53.0,0.49225397798747833,0.6590500017170533,0.492472171265834,0.8512525689375142
72,53.0,0.49941411256400886,0.6558293590501604,0.4898459846643683,0.8506868488483323
73,53.0,0.4930636648910383,0.6586805760776039,0.49282269151677044,0.8484955471503208
74,53.0,0.49855275041100366,0.652198602084995,0.4901220137507009,0.8553356675704208
75,53.0,0.49549410121425425,0.6560439897753869,0.4922978380703269,0.8498870158343563
76,53.0,0.4990730570720961,0.661331363527011,0.4984628226377397,0.8526623762699762
77,53.0,0.48760560375333833,0.6526475821145029,0.48937538237873485,0.8582258895650556
79,53.0,0.4924738882991839,0.6534969156296375,0.4872539522756519,0.8540078382699736
78,53.0,0.49563157034935523,0.6593735877045491,0.4966756310384466,0.8530275020408351
80,53.0,0.5009163719543014,0.6524312886751494,0.49247491453020303,0.8551301205859413
81,53.0,0.4939363068958357,0.66513495874879,0.49705710906390116,0.8487543695236847
82,53.0,0.49188309727814766,0.6598600224083684,0.49359515722151653,0.8494125368912954
83,53.0,0.49274883841231387,0.6612801266355338,0.49308830621771294,0.8476287195190242
85,53.0,0.49447203805705975,0.649309979337939,0.48761412030299606,0.8557400551935676
84,53.0,0.4919215573252691,0.6663820548774341,0.4987536650064527,0.8487732548671467
87,53.0,0.4969190769332357,0.6566113344217767,0.49481982896013776,0.851977467516571
86,53.0,0.4896145707047459,0.6599582070043959,0.4933027320842863,0.8492861930438024
88,53.0,0.4925422477709797,0.6504747576299414,0.4885982416773054,0.8558407849374872
89,53.0,0.4985622548130605,0.6558966533406261,0.49077461143996653,0.8523623287229474
90,53.0,0.4978614062395171,0.6656201929560122,0.49958978659875874,0.8498547580162095
91,53.0,0.4863601079608112,0.660729266424139,0.4950038850399435,0.850446774022638
92,53.0,0.5007897971205333,0.6448185226100044,0.48533099233518806,0.857977846595662
93,53.0,0.49392288483243235,0.655157830318838,0.4928588151748735,0.8506922415476799
94,53.0,0.49313954725507075,0.6636044399276102,0.49658207498913043,0.8479778555599834
95,53.0,0.4880498375542083,0.6654511893079479,0.5008091875566015,0.8532832493628865
96,53.0,0.4921757986989207,0.655457689951045,0.49257520204777056,0.8547988875569321
97,53.0,0.4877952412370638,0.661635271730245,0.49590055464106125,0.8498358773534707
99,53.0,0.4923252898463595,0.6581677364694831,0.4868778028613503,0.8525831506843904
100,53.0,0.4936030431381002,0.6515859846732875,0.4883674123267503,0.8514384053729258
98,53.0,0.48616650610443657,0.6607732028096609,0.4968197861077577,0.8534971550701822
101,53.0,0.4917307980215208,0.6600262269197368,0.4907449600590425,0.8508833601588836
102,53.0,0.5022447512794365,0.6559405881860255,0.492244368164597,0.853850948213088
103,53.0,0.49118849105823903,0.6594208845615368,0.4942162637263312,0.8490785435300545
104,53.0,0.49517704660644957,0.6532800305521431,0.49040190170054304,0.8572145874837804
105,53.0,0.49480739486127806,0.6574176666353594,0.4938315697781106,0.8536773225395
106,53.0,0.4972961320411922,0.6546067275625347,0.4917475763466575,0.8549285904016243
107,53.0,0.4937496953843836,0.6602790932902143,0.4965381286548545,0.8504170690421873
108,53.0,0.4891312628479382,0.6605557858233312,0.4914819405267159,0.8491457776691343
109,53.0,0.48696315784532773,0.6570935731042662,0.4909089104035853,0.8520521700971802
111,53.0,0.4968966267777409,0.6535836657018765,0.49089766340644364,0.851326926391456
110,53.0,0.49804129818369147,0.6535863722889178,0.48634137837536545,0.8538052695761323
112,53.0,0.5045417047930967,0.6459251786764517,0.48631712643256203,0.8582277033430125
113,53.0,0.49582398225139984,0.6570882213768785,0.4909462195437827,0.8526441662601213
114,53.0,0.485897509847732,0.6633270869191379,0.49475496916930667,0.8519014436023644
115,53.0,0.4901774274009171,0.6632930914897693,0.49778617806806097,0.8501031783318362
116,53.0,0.4997118284098836,0.6611434791210969,0.4936137525465021,0.8522635593711132
118,53.0,0.4924905647659318,0.6559840889489796,0.49077734441578114,0.8538788595826236
117,53.0,0.4961112572567018,0.6495390289481058,0.48863684582512124,0.8541648024064296
119,53.0,0.49214530598716666,0.6483873368910718,0.4859788551679724,0.8526902824690986
120,53.0,0.4971672063815052,0.6609529742347061,0.4960062331487944,0.8525407302692453
121,53.0,0.49583228694368453,0.6600052571512738,0.49516525255341165,0.8544169987687831
122,53.0,0.49367216559611254,0.6510603241643464,0.4846865926350768,0.849023975622923
124,53.0,0.4893814367943138,0.6578917799814393,0.4952757470454735,0.8511439366809108
123,53.0,0.4953566684431572,0.6585526854504776,0.49336406052655557,0.848873066649845
127,53.0,0.49844807791644524,0.6542617730949066,0.48880973289861396,0.8534638143589193
