Run,Bandwidth,Mean_Local_R2,RMSE,MAE,R2_Global
1,50.0,0.45665733535414293,0.7384827325537431,0.5527988096789932,0.8140236543507213
2,50.0,0.4501541793268345,0.7501488363661064,0.5623773750426676,0.8098616516771651
3,50.0,0.4598361900040288,0.7402584505796922,0.5572346552638644,0.817581223344288
4,50.0,0.46347919114135094,0.7387816394098179,0.551239999535083,0.8172640507896373
5,50.0,0.45351760153989384,0.7402124188719297,0.5569007007076652,0.8156548568262592
6,50.0,0.4610750096682308,0.7333114296468364,0.5533017568255627,0.818483527293613
7,50.0,0.46017578867354314,0.7336776736955632,0.5500787311864067,0.8187045415340709
8,50.0,0.4510508097785556,0.7475054253507107,0.5656385701908662,0.8128694837204932
9,50.0,0.4499394447892732,0.7369408769573509,0.5522071305204029,0.8103354240676707
10,50.0,0.4547568159034587,0.7402105734670007,0.5535753038557509,0.8155229861462977
11,50.0,0.45090212203067576,0.740787927864578,0.5554602568078352,0.809552937109712
12,50.0,0.45390222517020423,0.7459332635589461,0.5596463065671664,0.8142418404432157
13,50.0,0.4458137933386104,0.7532457026144015,0.5671445962001124,0.8115058778123456
14,50.0,0.45255218881302045,0.7310605847846867,0.5483656943185887,0.8180155577467281
15,50.0,0.46145799764218004,0.7378176968851974,0.5524298561337578,0.819338010140776
16,50.0,0.4583114113129572,0.7409332423909311,0.5541462641327316,0.8135406905258618
17,50.0,0.4577236848432096,0.742792220836503,0.5601415913533915,0.8150274324981766
18,50.0,0.46059671400363994,0.7374297331266131,0.5543217285549079,0.815385736187431
19,50.0,0.4621751793228011,0.7451796041413747,0.5600570504255783,0.8172913341354379
20,50.0,0.45432633588202354,0.7501611602347454,0.5631428123841061,0.8102900113616077
21,50.0,0.45349393098547924,0.7302979846044032,0.5477307554349531,0.8190955335374137
22,50.0,0.4514364906827256,0.7432606401808198,0.5588813461063585,0.813754382347978
23,50.0,0.4530999273942067,0.7410071847123144,0.5534320061596162,0.8167395467656089
24,50.0,0.46480201240573865,0.7396315819520654,0.5525057065590697,0.8179382843626627
25,50.0,0.4624402473562284,0.7396520200667533,0.5569137539446282,0.8173357808016588
26,50.0,0.4473249576292807,0.7434979403011963,0.5571823890179906,0.8151171544220591
27,50.0,0.45744522114891273,0.7373468260575794,0.5535824815043098,0.8203853957729701
28,50.0,0.45287558598845556,0.7510155487369473,0.5581914453340843,0.8104405580228642
29,50.0,0.4591645947462908,0.7321848625522659,0.552083759940857,0.8150264300994288
30,50.0,0.4545081417362572,0.739558040709692,0.5582189082666409,0.8151406095082853
31,50.0,0.4484071424656275,0.7372322664250904,0.5541547560968682,0.8134458600896008
32,50.0,0.460332333669564,0.7381662907122671,0.555745240482223,0.8175159656424236
33,50.0,0.44957931201721907,0.7459781206696634,0.5593473771109326,0.8138944735431257
34,50.0,0.4578764179518437,0.7428340753924562,0.5587059860228276,0.8233407359565753
35,50.0,0.44353560708033574,0.7432518508695846,0.5580845871798723,0.8112951048252874
36,50.0,0.45370030923931776,0.74172993954257,0.5550736342935674,0.8131248672972622
37,50.0,0.45894931252292226,0.7400470291965763,0.5563701511668414,0.8179431298862555
38,50.0,0.4529613283446742,0.7418993078968177,0.5551027277711794,0.8145568750611468
39,50.0,0.44674701007609724,0.7416110674653035,0.5528844582639968,0.8129577859584305
40,50.0,0.4610327003141649,0.739049029032494,0.5558209941549841,0.8188053329981254
41,50.0,0.45138264410667894,0.7466327336962424,0.5621392330041146,0.813493893629424
42,50.0,0.4498581121048301,0.734793502533685,0.5519830384683619,0.8143415664139662
43,50.0,0.45100300022214745,0.7479777490167565,0.5637464347422153,0.813586529677768
44,50.0,0.45585223147177817,0.7453344885116191,0.5603434890721919,0.8161753794043103
45,50.0,0.4524227161866107,0.7442770094048093,0.5560968514844501,0.8151523032629299
46,50.0,0.44967526366682153,0.7497279661226623,0.5625435605683039,0.8168129134405075
47,50.0,0.44532778561163805,0.7474105403125003,0.5606694429212,0.8153773196263144
48,50.0,0.4535302661127337,0.7414340466649397,0.5583008067848751,0.8131293599609631
49,50.0,0.45768481021317714,0.7429147121208869,0.5617555493115228,0.8159829614720691
50,50.0,0.44808683657892456,0.7395163632212874,0.5519468279340889,0.8123276395938026
