,Run,Bandwidth,Mean_Local_R2,RMSE,MAE,R2_Global
count,50.0,50.0,50.0,50.0,50.0,50.0
mean,25.5,50.0,0.4544588053713863,0.7414828382403793,0.5565949377757713,0.8151744900218545
std,14.577379737113251,0.0,0.005213054438536326,0.005178290959020201,0.0043615053403049334,0.00293206578533806
min,1.0,50.0,0.4435356070803357,0.7302979846044032,0.5477307554349531,0.809552937109712
25%,13.25,50.0,0.45092734157854364,0.7385574592677617,0.553334319159076,0.8134578684745566
50%,25.5,50.0,0.4536152876760257,0.7409702135516227,0.5562335013256458,0.8151288819651722
75%,37.75,50.0,0.458789837220431,0.7449539554572334,0.559571574203108,0.8173246691351036
max,50.0,50.0,0.4648020124057386,0.7532457026144015,0.5671445962001124,0.8233407359565753
