OBJECTID,Elevation_m,Pct_GreenSpace,Pct_Impervious,Pct_Canopy,Distance_from_water_m,POINT_X,POINT_Y
127,20,100,98.22,30,508.23,347641.0394,262746.911
129,13.3,0,71.52,52,278.92,358566.2367,271014.6278
130,20,0,98.81,30,1078.69,351184.3467,260778.4068
131,36.96,0,88.36,40,623.37,342522.9289,271998.8797
132,12.53,0,100,40,490.15,352956.0003,264616.9897
133,6.95,0,87.64,30,314.52,355613.4805,268357.1472
135,20,0,81.44,40,233.79,348133.1654,260384.7061
136,4.15,0,31.01,40,119.52,350101.6694,270817.7775
137,25.21,0,100,40,293.17,339274.8974,263829.588
138,53.23,0,57.42,50,623.37,336912.6928,266683.9189
139,3.02,2.94,100,50,166.35,354432.3782,263829.588
140,27,0,71.94,40,650.08,340259.1493,266388.6433
141,38.32,0,70.45,40,517.01,350101.6694,281152.4234
142,21.96,0,67.03,30,852.72,349511.1184,262746.911
143,20.03,0,89.16,50,250.58,347936.3151,259302.0288
144,38.89,0,70.91,50,593.32,339963.8737,272589.4311
145,15.38,0,93.35,30,593.89,351479.6223,267766.5962
146,2.74,0,100,50,54.47,355121.3545,267471.3206
147,5.18,0,91.89,40,213.23,346263.0865,270227.2261
148,23.95,0,95.26,30,599.38,347345.7638,269341.3992
149,20.9,0,5.97,40,960.9,351873.323,262845.336
150,11.41,0,78.18,40,275.99,345081.9842,268160.2969
151,21.98,0,33.52,58.65,1229.53,350593.7953,264026.4383
153,8.19,0,100,40,262.65,344196.1575,266585.4936
155,32.13,0,71.03,40,175.76,353054.4256,274065.809
156,19.62,0,93.34,40,452,353251.2759,263829.588
158,18.38,0,78.78,30,560.57,355121.3545,257038.2492
159,47.13,0,56.49,40,397.65,345180.4095,276132.7379
160,2.14,0,100,50,104.45,354826.0789,263435.8874
161,2.42,0,100,40,41.21,345081.9842,270719.3521
162,21.73,0,67.15,68.64,600.8,348625.2914,275739.0373
163,29.05,0,44.52,60.39,406.57,339767.0234,271506.7538
164,19.45,0,70.32,40,1037.15,350987.4963,265305.966
165,20.01,0,100,30,688.13,347247.3388,263435.8874
166,19.92,0,70.18,50,41.27,361026.8667,276920.1396
167,23.03,0,82.38,30,1287.89,348625.2914,265109.1156
168,48.71,0,52.76,52.46,805.07,350889.071,282235.1004
169,19.59,40,100,40,329.77,346361.5118,269636.6748
170,29.78,0,67.62,76.23,746.5,357778.8351,280069.7462
173,12.21,0,100,40,812.23,350790.6457,267569.7456
174,23.83,0,93.92,30,1100.24,348133.1654,267176.0449
175,19.12,0,100,50,358.28,345475.6852,261467.3834
176,18.71,0,100,50,791.78,351774.898,265798.092
177,35.9,0,85.87,40,511.1,345869.3858,279282.3445
178,24,0,95.01,40,720.37,349018.9924,274262.6593
179,12.98,0,100,30,466.8,348920.5671,258219.3519
180,25.56,0,77.77,54.24,429.37,337011.1178,269931.9505
181,24.8,0,75.04,37.23,510.6,357385.1341,271113.0528
183,27,0,54.06,30,905.83,342424.5039,264321.714
184,41.49,0,99.88,50,514.5,355810.3312,280168.1712
185,3.43,0,93.84,50,133.61,359550.4887,258219.3519
186,19.99,0,90.57,40,674.32,352857.5749,263042.1864
187,6.32,0,47.22,50,291.22,353448.1262,265404.3913
188,23.25,0,72.21,40,51.04,337896.9448,263239.037
189,19.32,0,96.16,30,137.02,354038.6776,269735.1002
190,18.03,0,100,40,669.98,356007.1815,258514.6272
192,5.4,0,51.6,40,6.32,352365.449,272884.7064
193,6,0,99.03,40,88.32,344196.1575,268750.8482
194,20.33,40,7.37,64.71,73,341341.8266,268258.7222
195,2.06,0,100,20,317.3,352365.449,268652.4229
196,23.41,0,98.59,40,962.03,345278.8345,263928.0133
197,26.74,88.68,10.68,99.43,76.8,339078.047,268849.2732
198,15.9,0,95.86,40,211.84,346853.6378,256546.1233
199,3,0,100,50,314.99,353251.2759,266782.3442
201,26.28,0,75.65,40,433.18,343704.0316,271309.9034
203,22.02,0,32.8,50,185.91,360337.8904,280365.0218
204,4.99,0,100,40,158.45,348034.7401,271014.6278
205,43.33,0,62.91,40,551.06,342818.2046,270916.2025
206,46.12,0,60.76,68.48,681.42,355711.9058,278888.6439
207,23.54,0,68.8,64.4,1138.48,347542.6141,266191.7929
208,4.07,0,92.63,30,83.5,350692.2207,270719.3521
209,13.94,0,40.32,40,169.9,344589.8582,267372.8952
210,21.19,0,100,50,241.81,354629.2285,280168.1712
211,24,0,100,30,1031.28,346361.5118,265010.6906
213,12.23,0,57.81,40,744.29,354432.3782,259203.6038
214,19.91,0,8.12,70.11,212.36,346459.9371,272195.7301
215,24.77,0,75.75,40,476.41,348231.5908,277609.1162
216,3,0,100,40,52.49,347739.4648,271309.9034
217,38.12,0,94.56,40,396.95,342818.2046,270227.2261
218,23.38,0,87.97,30,700.37,345081.9842,265404.3913
220,9.12,0,100,50,92.71,351873.323,273573.683
221,25.23,0,38.7,40,178.53,338585.9211,264223.289
222,22.6,0,93.19,40,698.98,348231.5908,275443.7616
224,22.9,0,66.12,40,471.08,347542.6141,274951.6357
225,9.92,100,0,98.89,401.36,347148.9135,272983.1317
226,43.21,0,70.96,45.86,1189.1,356400.8822,273967.3837
227,4.81,100,0,50,17.37,358369.3861,269538.2498
228,46.28,0,47.71,66.76,662.62,355613.4805,278691.7932
230,20.01,0,99.89,40,558.95,353054.4256,263435.8874
232,3.36,0,33.96,50,387.33,358074.1108,256742.9736
233,19.05,0,99.65,30,870.14,349904.819,268258.7222
234,20.29,0,79.44,40,367.05,348526.8661,260187.8558
235,23.88,40,100,30,1200.41,348920.5671,267471.3206
236,40.23,0,36.9,40,685.65,341243.4013,263731.163
237,43.24,0,70.61,63.47,280.53,345475.6852,275837.4626
238,4.82,5.18,45.12,50,26.47,356204.0318,267569.7456
239,24.22,0,76.45,40,755.03,343605.6062,264813.84
240,44.9,0,65.47,40,750.07,341735.5273,272097.3047
241,21,40,65.09,54.86,1087.48,351085.9213,263928.0133
242,20.77,0,87.19,40,1236.04,350200.0947,265699.667
243,8.12,0,100,40,27.55,342916.6299,267176.0449
244,24,0,62.27,84.25,1334.27,347936.3151,265502.8166
245,26.03,0,28.66,81.15,711.82,337404.8188,267569.7456
246,30.14,0,75.46,44.9,436.21,343802.4566,276231.1633
247,10.03,6.73,88.28,50,144.29,357581.9848,268160.2969
248,21.75,0,62.83,30,679.12,348920.5671,262550.0604
249,36.39,0,98.07,30,365.98,340160.7243,263435.8874
250,19.97,0,53.48,59.43,230.98,359845.7644,272392.5804
251,28,0,36.21,59.06,534.34,339078.047,267077.6196
252,10.11,0,100,40,308.79,351085.9213,275246.9113
253,19.6,0,99.78,30,533.51,348920.5671,261762.6587
255,40.27,0,83.48,40,897.78,356499.3075,277313.8406
257,24.03,0,96.99,40,678,348625.2914,274164.234
259,23.53,0,93.27,40,653.72,349412.693,273967.3837
260,26.79,0,75.64,40,661.8,355515.0555,270620.9268
261,23.52,0,55.48,42.55,528.17,356597.7325,269538.2498
262,22.08,0,67.68,40,1133.66,350298.5197,263239.037
