OBJECTID,dk_correction
9844,-0.0035734284
24387,-0.005965821
15498,-0.007353693
58743,-0.0012740758
18761,-8.741906e-05
58063,-0.007383197
17583,-0.0046504657
51029,0.0004235343
21019,-0.011673965
6169,-0.0011664066
35444,0.0010844939
2660,0.0008296524
37593,0.0001789513
9718,-0.0055925096
9029,-0.00031630555
21536,-0.0043613273
36276,0.0057689217
35299,-0.0006899829
45482,-0.00093753217
36540,0.0008583204
52299,0.0005129739
32573,0.0005188626
11973,-0.0018974091
51056,-0.0011974624
48255,-0.0012163925
43168,0.0002836273
47028,-0.0001526284
54589,-8.209469e-05
53961,-0.014106214
46267,-0.0033361814
5572,-0.00010954635
41134,-0.0012583784
29543,-0.004872102
25295,-0.0034695896
50203,-0.00062417844
40061,0.0003839624
6293,-0.0003672936
6276,0.0014493321
16532,-0.00015742658
29718,-0.0024760081
46575,-0.0025347336
5243,-0.011707634
46458,0.0014158818
40259,-0.0007500886
35989,-0.00443821
17521,-0.00074593956
9533,0.0009992397
19207,-0.008114904
55176,0.001259278
25698,-0.002221012
566,-0.007143564
2657,-0.000976413
22814,-0.041897856
29868,-0.0006389334
34360,-0.0011724033
1829,-0.000817874
55026,0.0054638614
11240,-0.0038682106
29786,-3.5956502e-05
29383,0.00022405526
22207,-0.0019690744
42673,-1.6450416e-05
45208,-0.00084377965
21522,-0.011723138
27697,-0.0033312696
25855,0.0005541942
40439,-0.0070707942
42459,-0.0020661647
48472,0.0007154434
10503,-1.8952414e-05
25514,-8.473871e-05
21312,-0.0035320441
2388,-0.053287588
26748,0.0012646248
22191,-0.0043494846
37936,-0.0062442007
20687,0.0007643909
20994,0.0011626068
10009,0.0011781319
52919,0.0002574143
36335,-0.0040128413
40648,-0.0016718092
35682,-0.0069603617
9637,-0.011419728
28790,-0.0035569775
1035,-0.0015960964
28085,-0.0045562605
41308,-0.003101773
50960,-0.0007801135
42282,-0.0045579034
26692,-0.0017559188
17268,-0.0069833766
13969,-0.002538744
37644,-0.0025944295
30765,0.0005595456
46074,-0.00018636277
47772,-8.387165e-05
26278,0.0022269753
30363,0.0006273412
14331,-0.003943957
23793,-0.0053153555
11179,0.0013962791
55578,-0.012881257
48380,-0.0019205264
4322,0.00083963387
17853,-0.005914777
27477,-0.0077755298
50394,-0.02811443
23346,-0.0010604593
6612,-0.004773375
54861,-0.00052285334
13638,0.00070263585
15834,0.0011976683
23507,-0.0034184973
16617,-0.0003713793
47976,-0.0008081109
46322,0.001513517
12251,-0.00033015432
35953,0.0029603844
17803,-0.007330488
28422,-0.0011328603
38718,0.000697155
37702,-0.008622833
19010,-0.0021741088
24856,-0.002000052
42649,0.0009776768
39220,-0.0015116367
34584,0.0011850898
28090,0.0027054907
26652,-0.010804787
51939,-0.00024437997
25497,-0.0064334716
40363,0.00020396756
31811,-0.004245929
3371,-0.0034953165
13112,-0.006337143
8427,-0.00425599
486,0.0036290442
45388,-0.0012095585
15403,0.0011682794
30386,-0.0010440606
50429,0.0013502939
2665,-0.0014767773
19185,-0.0102805495
23412,0.000118230004
19863,-4.0195417e-05
19781,0.0003626882
57295,-0.004213818
4864,0.0012171906
9904,-0.0001582834
38167,-0.0010189633
3932,-0.010580935
14601,-0.0035075047
34709,-0.001938242
8529,-0.0029419926
382,-0.002984948
50261,0.00043015042
58145,-0.0017830147
40904,-0.0014085001
45673,-0.0014610994
58318,-0.0013209921
50430,-0.00074238656
47051,0.0012734183
27315,8.306326e-05
32799,-0.004197463
54638,5.7515223e-05
32744,0.00015472295
3811,-0.00022028899
56181,-0.0043600122
49637,-0.0007954226
57739,-0.0032404172
35662,4.1356776e-05
15227,5.2594114e-05
42936,-0.00033909408
44022,-0.0019658222
27610,-0.020251088
42272,-0.001912016
25348,0.001067163
43225,3.907783e-05
59648,-0.00034072017
41357,-0.0010881703
45222,-0.0019629276
32422,0.0013047238
27479,-0.0029892693
23505,-0.001503631
36581,-0.0018985602
41934,-0.0010866807
54558,-0.0010651513
41311,-0.0009811888
43971,-5.271053e-05
7242,-0.0040937136
48980,-0.00064017856
9359,0.0010922779
32819,-0.0075278054
34641,-0.0013957345
36178,-0.015458785
18462,-0.0016418458
50117,0.00032815943
2976,0.002152665
20026,-0.0023295837
56690,-0.002092293
44420,-0.0025321352
53334,0.0013400312
26007,0.0010926235
52701,-0.0003102147
29789,-0.0019838805
22581,-0.0012060399
1255,-0.0010880171
27884,-0.0021317755
44364,-0.0014982014
18265,0.00071679195
3626,5.53946e-05
34222,0.0010750708
40634,-0.0028052921
25943,-0.006736792
29610,-1.329137e-05
36443,-0.005146501
39544,-0.0006250697
29050,-0.0010537445
26447,-0.00029003108
21461,-0.004007816
39228,-0.002162892
37630,0.0008985256
52546,-0.0008169706
41953,-0.0012050285
12482,-0.0025589499
59973,-0.0036535873
36575,-0.0006037648
45219,-0.002348255
36236,-0.0051087136
18398,-0.006986774
11449,-0.00048360648
41262,-0.0015200595
10291,-0.0014186124
5992,-0.0019765156
7591,-0.005822822
19215,-0.00569801
43395,0.00011282461
315,-0.004774518
33273,-0.0069182063
31152,-0.00053797243
41733,0.0014036824
36978,-0.0012544687
28033,0.00058838027
54524,0.0012933617
58415,-0.0009136507
12887,-0.0018426352
15177,-0.0011265757
40001,-0.018762358
6543,-0.0010840665
32550,-3.703637e-05
10702,-0.00061100954
3495,0.0010807072
22987,-0.00019419147
57242,-0.000569846
32910,-0.0006199251
39649,0.0010268432
23354,-0.0019382401
3206,-0.0010747998
10973,0.0052902442
8849,0.00071990537
37083,-0.0024404
1270,-0.010430627
59137,-0.010610074
47454,-0.004767425
12609,-0.0015290086
19887,-0.0014852057
21395,-0.0044111754
52152,0.00048530428
14792,-0.0015914715
3798,0.0010512047
9177,0.0012458009
29213,-0.0012291665
4963,-0.0067213248
44251,-0.0023038317
27061,-0.0025802362
35219,-0.007942595
21973,-0.003019459
25769,-0.004702899
53747,0.00043614674
26037,-0.0008746716
39892,-0.0012095268
25969,-0.0020376365
3940,-0.000628605
35491,-0.00013863342
27076,-0.012886457
37064,0.004758232
35259,-0.0016262471
8148,0.00023953756
57868,-0.00072916737
20045,-0.0015825811
27859,0.0027852827
39064,-0.00050438894
16056,-0.0010854253
36728,0.00035133818
24531,-0.001491263
51630,-0.007996477
34180,-0.0016446146
19429,-0.002938367
35677,0.00013568439
54056,0.0002146489
30321,-0.008343376
56193,-0.0013169073
11620,-0.0046626176
18742,0.0033488986
48141,-0.0012174263
25168,-0.0049539614
39027,-0.002660546
41756,-0.0005425294
36032,-0.0023212773
21282,-0.00077105453
38960,1.5418045e-05
49113,-0.0012182598
39418,0.0012548207
10777,0.0021207207
5258,-0.000107153784
57822,-0.0043497267
54088,0.001997013
5321,0.0019353353
33067,0.00013377471
29441,-0.0021631722
11243,-0.0017920234
12242,-0.0014391388
46130,0.0009296122
42652,-0.0020360495
20107,-0.0024750303
37342,-0.002138454
34761,0.0011665183
2947,-0.0008177287
39235,-0.0018136357
51969,-0.0036822702
31666,0.00093606673
49514,-0.00022478448
27267,0.00085052336
37194,-0.00091843633
53422,0.00047038822
26820,0.00089607807
829,-0.0018329914
50567,-0.0010815295
51869,0.0012006164
3590,-0.00227249
13592,-0.028817318
31653,-0.00039195968
39345,-0.0011734082
30331,0.00056864554
17284,5.936576e-05
24650,-0.0016615517
42836,-0.01144284
25583,0.0019673628
32914,0.0009984816
52600,-0.0019622105
22669,-0.0037912675
41818,-0.0012456863
33651,-0.005747288
12358,0.00019439543
6127,-0.0061010937
56533,-0.01645913
41772,-0.0030050646
49953,-0.00090459595
18011,0.00091468124
44864,-0.0008946168
688,-0.004052348
41779,0.0009664232
56216,-0.006850898
6179,-0.00015135342
54307,-0.0017659417
24031,0.0006250669
49509,0.0008420886
38355,-0.005179561
16357,0.0007461165
39870,0.00086934166
40204,-0.00035433238
2061,-0.0049463524
38386,-0.0008133431
23773,0.0013088309
41739,0.0004947898
10832,-0.007419906
2809,-0.00060550263
33816,-0.0051872763
46779,-0.00086696306
54881,0.00024588732
38918,-0.0019652634
10602,-0.02544009
116,-0.0029053125
17425,-0.00068893237
2508,-0.0042549833
16762,-0.00956434
11129,0.00051988335
6731,-0.001867875
24803,-0.00033175992
10289,0.00074215373
18585,0.00143226
14571,9.91798e-05
16439,-0.0015528216
4072,-0.00918825
43793,-0.0004718802
24616,-0.01019828
25145,0.00035013608
25872,-0.006825905
32404,-0.0034110579
33891,-0.00064220047
11014,-0.0021439209
9631,-0.00023665046
13780,-0.012258038
54014,0.0016081794
39596,-0.0011714944
22283,-0.0010501179
15237,-0.0012239604
12569,0.00013130391
20564,-0.0042338516
35578,0.0010553119
51186,-1.0808464e-05
8653,0.00024615228
17224,-0.00028572464
29500,-0.0016557542
11499,0.0017107879
55180,-0.01079195
53917,0.0009400635
52740,0.0010074023
3080,-0.0012122686
37193,0.0001568771
46904,0.0011022496
51523,-0.00010367064
45153,0.0016114064
3148,-0.014970057
9445,0.0011076382
53112,0.00063438853
44108,0.0001186193
19107,-0.0049834806
36287,-0.0023221257
9597,0.0069694673
23597,0.0007445165
5170,-0.009549335
6101,-0.00021515787
57683,5.718833e-05
30561,-0.0025165896
16258,-2.9391143e-05
37490,0.0012910091
11773,-0.0061973627
33544,0.00089192064
25982,-0.00029101828
47355,0.00021406636
15658,-0.0001956285
10454,0.0027060178
47853,-0.0016319654
34218,-0.0016691401
495,-0.001456982
13666,-0.00043629063
41499,-0.001541628
81,0.0010854979
46986,0.00011394406
18411,-0.004968896
30483,-0.0012624613
52267,-0.00036159204
46400,0.001363208
21931,0.0012726961
384,-0.021281488
37672,-0.0014751474
40074,-0.0023308988
40997,-0.0022762916
50541,0.0011766045
43182,-0.0009454894
16519,-6.835861e-05
11444,-0.0014392748
37263,-0.001573456
25965,-0.00086921966
12122,0.0009974693
26706,-0.001941632
15064,-0.0037126462
7347,-0.0049816514
47711,-0.00029436825
46787,-0.0005451399
32351,-0.0010068673
2642,-0.0023669447
45678,0.0014338722
28454,-0.0005381149
26756,-0.0043948176
34159,-0.0021280232
18345,-0.014203593
34934,-0.0040695514
15153,0.0005511441
49822,-0.0047368514
139,-0.0003613811
32889,-0.0005574175
47350,-0.0005803318
9895,-0.0010976265
11660,-0.0018846835
31350,-0.0013189358
41344,-0.002108266
12301,-0.012149759
42225,0.0027028196
50274,-0.00051374594
26610,-0.0017017904
41829,0.0011698161
27261,-0.0041522603
49430,-0.0012447122
33093,0.00070119696
48412,-0.0003243559
41494,-0.0037232223
43640,0.0014345567
7247,-0.0005715634
10476,-0.0008312757
57937,-0.0033036056
32907,-0.0013064458
15711,0.00015382143
33259,0.0008920743
42291,0.0016062469
31699,-0.0014085802
18107,-0.00036849035
26626,-0.0008154274
49280,0.000906609
37448,-0.0013817563
55372,-0.0006810208
19054,-0.0010523438
5530,0.0004031998
19568,-0.007098652
15955,-0.0018766872
59319,-0.014648616
40901,-0.004907548
39847,-0.0015696692
16103,-0.00055240886
14345,0.0008265753
53937,0.00093347486
31427,-0.005595527
56818,0.0010430315
2459,-0.00074303104
36172,-0.0026842817
