X_Coor,Y_Coor,Observed_Temperature,Predicted_Temperature,Intercept,Canopy_Coeff,BuiltEnv_Coeff,Elevation_Coeff,Local_R2,Residuals
299916.4659,4628521.636,84.0,86.31161613724863,78.17987413373957,0.029723123675680134,4.6533224221674665,13.17173894807796,0.6062847048832849,-2.3116161372486346
301517.8354,4629915.79,89.0,88.2078502476343,92.08243159076135,-1.3377889749989604,-0.09724837900908538,-8.940333527208416,0.36191379526981554,0.7921497523657024
296080.4745,4633886.072,88.0,88.9317300031959,88.44150875204703,2.415487016302844,3.992644363198909,-3.3394708386652576,0.6268750853177503,-0.931730003195895
299472.3144,4635948.442,88.0,87.81634043257044,88.35782478206723,0.14129210159850913,0.8036516389012287,-1.5819178322830432,0.2568865509178337,0.18365956742955802
297505.184,4633334.315,91.0,90.85067302557073,93.8284569350719,-0.24736832524896332,0.621798519392608,-8.342743677590242,0.5390586684757934,0.14932697442927179
297633.6173,4631559.631,90.0,90.29848096123419,85.11563440731878,-0.17410170190566032,1.8816675275974382,6.952595090048995,0.4183888083845107,-0.29848096123419054
299699.7812,4630358.896,89.0,89.82521665394009,80.05047916968608,-0.17443517832725738,0.613950710414362,17.292977879016437,0.3504327909551336,-0.8252166539400889
299888.4503,4630653.562,89.0,89.5578385519021,85.60937984921698,-0.3113926984933139,0.29874499457763937,6.866353264755059,0.28615726101305655,-0.5578385519020941
295725.824,4634076.497,88.0,88.17617285556547,89.31422442352817,2.7196981464273695,5.99398606743096,-5.706546048276968,0.7337116466927023,-0.17617285556546847
295089.6058,4634905.466,86.0,86.77692344856325,94.5546220208284,-0.05164570795110687,2.7662686496640774,-11.364545335697928,0.7504166283655803,-0.7769234485632524
297527.3778,4629971.874,89.0,89.16301284150877,91.09078781468772,0.35285014822587757,0.7495629454039678,-4.372109664673135,0.41555758821553174,-0.16301284150877393
301889.8695,4636508.344,84.0,83.85922612311423,81.41795507204402,1.0888114459577767,6.442850176337523,2.1262359629707044,0.6929851418681026,0.14077387688577403
302122.2157,4635210.916,84.0,83.81870085827153,79.98882142560986,0.4986252169684562,3.074275340096298,6.694224271382699,0.534801316817555,0.1812991417284735
