X_Coor,Y_Coor,Observed_Temperature,Predicted_Temperature,Intercept,Canopy_Coeff,BuiltEnv_Coeff,Elevation_Coeff,Local_R2,Residuals
297212.8755,4631541.861,89.0,88.4943227094557,87.43925313531639,0.10189689556649809,2.1216481053079432,1.4825241186362679,0.42182823326625624,0.5056772905442983
296977.3147,4631698.798,89.0,88.16269495375101,89.73378782307253,-0.09511652776085795,1.7130015260494937,-2.7134591870837883,0.27216774869854615,0.8373050462489857
296195.501,4632682.074,87.0,87.18328184987092,85.7069095719726,-0.10214670279710299,2.5393839458241034,3.1031245899535747,0.5435714999561142,-0.183281849870923
297088.2388,4632415.955,91.0,90.7699500485748,94.64279093763754,-0.4855977918825078,0.8547365769578326,-9.843665626261739,0.43399162293725935,0.23004995142520102
296098.8532,4631424.205,89.0,88.76178903441762,90.35009638063639,-0.17395701318045592,1.4921795583132984,-3.515294610258245,0.3351301341361865,0.23821096558238253
300218.9024,4631694.492,89.0,88.88233951631075,88.53011947338099,-0.23248288197664546,-0.01636485987149073,0.9059736056806768,0.0789602980026296,0.11766048368924942
300033.1093,4636649.94,88.0,88.07950369112129,88.92010224939591,-0.2874830454416936,-0.17290900229846437,-1.4724664354647206,0.27068044111119244,-0.07950369112128897
300058.7354,4633410.045,88.0,87.65671080257385,88.13698822126841,0.2582892826917265,0.14866018630673036,-1.0763980628317606,0.23094816963204007,0.34328919742614517
298198.1608,4634454.744,88.0,88.22381160500802,90.6374793188542,0.05570113335811178,1.0459012097880194,-5.126175503250572,0.32744247325962883,-0.22381160500802366
301490.975,4634148.746,87.0,86.47039792450755,84.42705276801227,-0.3350420823804689,0.9206419328015896,2.750362480111593,0.6116936244999784,0.5296020754924484
295210.1671,4632860.841,89.0,88.67671101254966,86.47208184003328,-0.32118437147877305,1.9830996286669587,1.9704323002312143,0.32356666644574616,0.32328898745033996
301415.5593,4635681.729,86.0,85.77262693389261,80.24579618153471,-0.042937227502778744,1.3379676047340556,7.628930319514359,0.6086027511959567,0.22737306610738983
296195.1982,4633702.634,89.0,89.00006188732739,94.1489251980712,0.8913988694043352,2.3994269807722026,-9.858412693121302,0.520437845017102,-6.188732739076386e-05
297146.1696,4633374.784,89.0,88.97281127292952,93.24615503215581,-0.08508059895909613,0.6652195526415621,-7.747223097922699,0.6795355631959797,0.027188727070480923
299131.0866,4632476.55,90.0,89.16524169394458,81.01875123603173,-0.12359572501384988,-0.9568935257789201,16.43887578137952,0.5538868245923979,0.83475830605542
299275.7752,4635383.867,88.0,88.91633085156468,94.03971431341783,-0.3413477315973178,0.007433522675268047,-11.151787978007508,0.5627220353889741,-0.9163308515646804
297882.5358,4633923.647,89.0,88.77736593832341,90.39447257856091,-0.1780098900739207,1.3450456434749827,-3.6184844210528015,0.43312604726838233,0.22263406167658673
295664.6733,4635068.816,86.0,85.76120474551831,84.38109337832952,0.3078273513620118,2.3560250549697934,1.1066560520752442,0.5395450321221803,0.23879525448168692
297107.7244,4635146.853,88.0,88.08315982631699,86.0866079577067,-0.17984473883745827,0.4116726782586089,2.691709478891652,0.32180861423099244,-0.0831598263169866
297614.7316,4629879.284,90.0,89.25277169299878,89.08195321254799,-0.33427240196524494,1.05671323006469,-0.9742476925142044,0.48163203293809087,0.7472283070012224
295656.8123,4634798.898,85.0,84.53998144383918,88.75086934748167,0.5217220152293894,3.7650889628488464,-5.055087519378739,0.6818407354196273,0.46001855616081855
295527.2413,4634472.492,84.0,86.54092257896063,95.65505049787866,0.7010600795645509,3.9951386155402,-13.86251655128651,0.7877168368933687,-2.5409225789606324
299926.9356,4628881.519,87.0,85.32632582357549,75.94761607651213,0.392144464920032,4.175023349339319,18.011442009334395,0.6173001681406256,1.6736741764245124
298776.7133,4634738.054,87.0,87.41062979067974,91.47139211113378,-0.7288195166316678,0.4544280276998206,-6.82474097608702,0.3552777166203311,-0.41062979067973515
300372.1031,4629739.02,87.0,87.45287858169614,81.43971346156145,0.4444920121469228,-0.8715519976685081,13.376295386636286,0.45409411272101563,-0.45287858169614026
296185.0241,4632322.184,88.0,88.41488895676868,86.63180951876956,-0.3257564951800296,2.43203957688804,1.9163873900162451,0.497436401236788,-0.414888956768678
300297.2886,4629230.931,91.0,88.43315872306279,77.08203817224162,-0.006077069672553423,1.3250787077276571,20.10473709798107,0.35776355182057146,2.566841276937211
295191.8324,4632231.03,87.0,87.28150029330351,90.94632044680226,-0.3833940432707463,1.46282149416564,-5.7264316596028655,0.6002688088691766,-0.2815002933035089
299833.3622,4634947.407,90.0,89.17041076697733,93.1681338628322,0.07559253621239438,0.21961758046686858,-8.71907249891391,0.5635266488881244,0.8295892330226735
295905.5033,4632000.142,90.0,88.77844154104338,89.61180272530886,-0.49406782200839555,2.902786888246563,-3.165752337630327,0.4593460077727907,1.221558458956622
300230.8786,4630043.285,87.0,87.62586278021232,80.05437030943278,0.3512837663253155,-0.8656993636005776,17.179212660179324,0.5935860950713783,-0.6258627802123158
300854.1977,4633927.164,87.0,87.24960987050805,87.31399675097623,-0.18464910891989716,0.10075733080994691,-0.09359481854207029,0.3744930789776831,-0.24960987050805272
297784.1146,4635697.457,89.0,88.70550712897703,89.6058415874075,0.009594858015563387,0.8075796964998441,-1.722932497135838,0.33700211062971314,0.2944928710229675
301189.9063,4635148.023,87.0,85.98213177923374,84.47321563703407,-0.08753703072786237,0.6539935942399652,1.8528592470407061,0.2902077917287708,1.0178682207662604
301757.6927,4633000.394,87.0,86.78096167176184,85.88491871652151,-0.732193123524978,0.758115904068373,2.286604603857099,0.5750002726268612,0.21903832823815605
