OBJECTID,Temperature,Pct_Canopy_1,Built_Environment_Index,Mean_Elevation,X_Coor,Y_Coor
45184,85,0.633,0,0.69,296173.6442,4635023.977
19894,89,0.082,0.4642084,0.611,296173.6749,4631932.303
35993,88,0.051,0.5481637,0.659,296173.9401,4634003.416
27833,88,0.073,0.0766325,0.5,296174.2414,4632982.855
45444,86,1,0,0.698,296174.5177,4635053.968
20098,89,0.002,0.5062303,0.595,296174.5479,4631962.294
36254,87,0.071,0.4241389,0.675,296174.8134,4634033.407
28079,88,0,0.4339589,0.516,296175.1145,4633012.846
45703,86,0.825,0.0521101,0.706,296175.3912,4635083.958
20302,89,0.029,0.6358858,0.595,296175.4209,4631992.285
36517,87,0,0.5045771,0.675,296175.6868,4634063.397
28325,89,0,0.5086983,0.524,296175.9877,4633042.836
45961,86,0.879,0.157644,0.69,296176.2646,4635113.949
20508,89,0.01,0.6511272,0.611,296176.2939,4632022.276
36784,87,0.153,0.5053451,0.675,296176.5601,4634093.388
28573,89,0,0.7401447,0.532,296176.8608,4633072.827
46218,86,1,0,0.69,296177.1381,4635143.94
20714,89,0.037,0.6199178,0.611,296177.1669,4632052.266
37053,87,0.083,0.4834238,0.667,296177.4334,4634123.379
28821,89,0.004,0.8641407,0.548,296177.734,4633102.818
52064,87,0.136,0.3337646,0.849,296177.8367,4635853.774
46473,86,1,0,0.706,296178.0116,4635173.931
20920,89,0.008,0.386573,0.611,296178.0399,4632082.257
37323,87,0.039,0.4340267,0.659,296178.3067,4634153.37
29070,89,0.02,0.2259564,0.571,296178.6072,4633132.809
46727,86,1,0,0.714,296178.8851,4635203.922
21127,89,0.046,0.5057145,0.611,296178.9129,4632112.248
37595,87,0.382,0.4281604,0.667,296179.18,4634183.361
29321,89,0.056,0.664043,0.579,296179.4803,4633162.8
46981,86,1,0,0.722,296179.7586,4635233.912
21334,89,0,0.5082014,0.611,296179.7859,4632142.239
37869,87,0.002,0.4559434,0.667,296180.0534,4634213.351
29567,90,0,0.6808684,0.579,296180.3535,4633192.791
14630,88,0,0.5393566,0.762,296180.5901,4631158.201
47234,87,1,0,0.722,296180.6321,4635263.903
21544,89,0.106,0.6068009,0.611,296180.6589,4632172.23
38144,87,0.001,0.5215973,0.667,296180.9267,4634243.342
29802,90,0.018,0.4592803,0.579,296181.2267,4633222.781
47486,87,1,0,0.722,296181.5055,4635293.894
21758,88,0.013,0.5866601,0.603,296181.532,4632202.22
38419,87,0.036,0.5259874,0.659,296181.8,4634273.333
14817,88,0.175,0.5330759,0.754,296181.8426,4631181.66
30028,92,0.002,0.5886707,0.579,296182.0999,4633252.772
47737,87,1,0,0.722,296182.379,4635323.885
21975,88,0.71,0.2092813,0.595,296182.405,4632232.211
38694,87,0.013,0.515427,0.659,296182.6734,4634303.324
15009,89,0.071,0.3241073,0.746,296182.7155,4631211.65
30255,93,0.063,0.5974372,0.579,296182.973,4633282.763
47987,87,1,0,0.722,296183.2526,4635353.876
22195,88,0.563,0.013137,0.579,296183.278,4632262.202
38969,86,0.054,0.5332438,0.659,296183.5467,4634333.315
15209,90,0,0.6470274,0.738,296183.5883,4631241.641
30482,93,0,0.5652055,0.595,296183.8462,4633312.754
48236,88,1,0,0.722,296184.1261,4635383.866
22420,88,0.321,0.2949819,0.579,296184.1511,4632292.193
39244,86,0.023,0.2197499,0.643,296184.4201,4634363.306
15414,90,0.004,0.5413017,0.722,296184.4612,4631271.632
30710,92,0.125,0.4461875,0.595,296184.7194,4633342.745
48484,88,1,0,0.738,296184.9996,4635413.857
22647,88,0.171,0.3061326,0.571,296185.0241,4632322.184
39518,86,0,0.4074638,0.651,296185.2935,4634393.296
15622,90,0.003,0.5258403,0.722,296185.3341,4631301.623
30939,91,0.149,0.4995486,0.595,296185.5926,4633372.735
48731,88,1,0,0.746,296185.8731,4635443.848
22875,88,0.491,0.1748093,0.563,296185.8972,4632352.175
39791,85,0,0.1265531,0.659,296186.1668,4634423.287
15827,89,0,0.4950189,0.714,296186.207,4631331.614
31169,90,0.619,0.4328683,0.603,296186.4658,4633402.726
48976,88,1,0,0.77,296186.7466,4635473.839
23104,88,0.03,0.5762987,0.548,296186.7702,4632382.165
40064,85,0,0,0.659,296187.0402,4634453.278
16032,89,0,0.8843543,0.706,296187.0799,4631361.604
31400,90,0.045,0.4258944,0.611,296187.3391,4633432.717
49220,88,1,0,0.794,296187.6202,4635503.83
23333,88,0.13,0.4260767,0.548,296187.6433,4632412.156
